date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:21:08	255/255	---MCZ	200	added ('OK')	text/plain	date:Sat,%2014%20Sep%202024%2007:48:39%20GMT	https://www.hearingloss.org/robots.txt		(from )
13:21:09	148843/148843	---MCZ	200	added ('OK')	text/html	date:Sat,%2014%20Sep%202024%2007:51:04%20GMT	https://www.hearingloss.org/	D:/Sarathi/www.hearingloss.org/index.html	(from )
13:21:10	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2014%20Sep%202024%2007:51:04%20GMT	http://www.hearingloss.org/wp-content/plugins/all-in-one-event-calendar/cache/0af1f6b3_ai1ec_parsed_css.css?ver=3.0.0	D:/Sarathi/www.hearingloss.org/wp-content/plugins/all-in-one-event-calendar/cache/0af1f6b3_ai1ec_parsed_css.06e0e.delayed	(from https://www.hearingloss.org/)
13:21:11	722/722	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22905fd3ebfa12d8c8d400c7dc674e5b51%22	https://www.hearingloss.org/sample-page/feed/	D:/Sarathi/www.hearingloss.org/sample-page/feed/index.html	(from https://www.hearingloss.org/)
13:21:11	269517/269517	---MCZ	200	added ('OK')	text/css	etag:W/%22650b11b6-41ccd%22	https://www.hearingloss.org/wp-content/plugins/all-in-one-event-calendar/cache/0af1f6b3_ai1ec_parsed_css.css?ver=3.0.0	D:/Sarathi/www.hearingloss.org/wp-content/plugins/all-in-one-event-calendar/cache/0af1f6b3_ai1ec_parsed_css6e0e.css	(from https://www.hearingloss.org/)
13:21:11	124313/124313	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22905fd3ebfa12d8c8d400c7dc674e5b51%22	https://www.hearingloss.org/feed/	D:/Sarathi/www.hearingloss.org/feed/index.html	(from https://www.hearingloss.org/)
13:21:11	64640/64640	---MCZ	200	added ('OK')	text/css	etag:W/%2264adbfe6-fc80%22	https://www.hearingloss.org/wp-content/plugins/instagram-feed-pro/css/sbi-styles.min.css?ver=6.2.1	D:/Sarathi/www.hearingloss.org/wp-content/plugins/instagram-feed-pro/css/sbi-styles.minf731.css	(from https://www.hearingloss.org/)
13:21:12	112427/112427	---MCZ	200	added ('OK')	text/css	etag:W/%2266d88f8f-1b72b%22	https://www.hearingloss.org/wp-includes/css/dist/block-library/style.min.css?ver=6.6.2	D:/Sarathi/www.hearingloss.org/wp-includes/css/dist/block-library/style.min109c.css	(from https://www.hearingloss.org/)
13:21:12	30236/30236	---MCZ	200	added ('OK')	text/css	etag:W/%2264adbfde-761c%22	https://www.hearingloss.org/wp-content/plugins/bbpress/templates/default/css/bbpress.min.css?ver=2.6.9	D:/Sarathi/www.hearingloss.org/wp-content/plugins/bbpress/templates/default/css/bbpress.mina19e.css	(from https://www.hearingloss.org/)
13:21:12	24471/24471	---MCZ	200	added ('OK')	text/css	etag:W/%2264adbfe6-5f97%22	https://www.hearingloss.org/wp-content/plugins/foobox-image-lightbox-premium/free/css/foobox.free.min.css?ver=2.7.3	D:/Sarathi/www.hearingloss.org/wp-content/plugins/foobox-image-lightbox-premium/free/css/foobox.free.minde39.css	(from https://www.hearingloss.org/)
13:21:13	468/468	---M--	200	added ('OK')	text/css	etag:%2264adbfe6-1d4%22	https://www.hearingloss.org/wp-content/plugins/user-access-manager/assets/css/uamLoginForm.css?ver=2.2.22	D:/Sarathi/www.hearingloss.org/wp-content/plugins/user-access-manager/assets/css/uamLoginForm4464.css	(from https://www.hearingloss.org/)
13:21:13	37363/37363	---MCZ	200	added ('OK')	text/css	etag:W/%2264adbfe0-91f3%22	https://www.hearingloss.org/wp-content/plugins/search-filter-pro/public/assets/css/search-filter.min.css?ver=2.5.13	D:/Sarathi/www.hearingloss.org/wp-content/plugins/search-filter-pro/public/assets/css/search-filter.min1ce0.css	(from https://www.hearingloss.org/)
13:21:14	1639934/1639934	---MCZ	200	added ('OK')	text/css	etag:W/%2264adbfdd-1905fe%22	https://www.hearingloss.org/wp-content/themes/hlaa/dist/styles/main.css	D:/Sarathi/www.hearingloss.org/wp-content/themes/hlaa/dist/styles/main.css	(from https://www.hearingloss.org/)
13:21:14	87553/87553	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264ecd5ef-15601%22	https://www.hearingloss.org/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	D:/Sarathi/www.hearingloss.org/wp-includes/js/jquery/jquery.minf43b.js	(from https://www.hearingloss.org/)
13:21:14	13577/13577	---MCZ	200	added ('OK')	application/javascript	etag:W/%226482bd64-3509%22	https://www.hearingloss.org/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	D:/Sarathi/www.hearingloss.org/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://www.hearingloss.org/)
13:21:14	65491/65491	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264adbfe0-ffd3%22	https://www.hearingloss.org/wp-content/plugins/search-filter-pro/public/assets/js/search-filter-build.min.js?ver=2.5.13	D:/Sarathi/www.hearingloss.org/wp-content/plugins/search-filter-pro/public/assets/js/search-filter-build.min1ce0.js	(from https://www.hearingloss.org/)
13:21:15	29121/29121	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264adbfe0-71c1%22	https://www.hearingloss.org/wp-content/plugins/search-filter-pro/public/assets/js/chosen.jquery.min.js?ver=2.5.13	D:/Sarathi/www.hearingloss.org/wp-content/plugins/search-filter-pro/public/assets/js/chosen.jquery.min1ce0.js	(from https://www.hearingloss.org/)
13:21:15	54250/54250	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264adbfe6-d3ea%22	https://www.hearingloss.org/wp-content/plugins/foobox-image-lightbox-premium/free/js/foobox.free.min.js?ver=2.7.3	D:/Sarathi/www.hearingloss.org/wp-content/plugins/foobox-image-lightbox-premium/free/js/foobox.free.minde39.js	(from https://www.hearingloss.org/)
13:21:15	603/603	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264adbfda-25b%22	https://www.hearingloss.org/wp-content/themes/bbpress/assets/scripts/event-tracking.js?ver=1.0	D:/Sarathi/www.hearingloss.org/wp-content/themes/bbpress/assets/scripts/event-tracking5152.js	(from https://www.hearingloss.org/)
